,Address,Price,Beds,Bath,SQFT
0,21 Broadmoor Hills Drive,"$724,900",5 beds,4 baths,"5,174 sq. ft"
1,3624 Cherry Plum Drive,"$669,900",4 beds,4 baths,"4,228 sq. ft"
2,9962 Pinedale Drive,"$625,000",6 beds,4 baths,"4,643 sq. ft"
3,5465 Wilson Road,"$610,000",5 beds,4 baths,"3,560 sq. ft"
4,10323 Peach Blossom Trail,"$585,000",5 beds,4 baths,"4,347 sq. ft"
5,13783 Paradise Villas Grove,"$475,000",3 beds,4 baths,"3,744 sq. ft"
6,3275 W Montebello Drive,"$368,500",4 beds,2 baths,"2,352 sq. ft"
7,6139 Rocking Chair Lane,"$334,900",4 beds,4 baths,"2,788 sq. ft"
8,5360 Smokehouse Lane,"$332,000",3 beds,3 baths,"2,462 sq. ft"
9,6030 Gelding Court,"$330,000",3 beds,3 baths,"2,803 sq. ft"
10,6425 Dancing Star Way,"$320,000",3 beds,3 baths,"1,960 sq. ft"
11,1963 Wildwood Pass Drive,"$315,000",3 beds,3 baths,"1,527 sq. ft"
12,2211 N Chelton Road,"$289,900",4 beds,3 baths,"1,737 sq. ft"
13,6885 Caballero Avenue,"$276,900",4 beds,2 baths,"1,786 sq. ft"
14,3606 Lehigh Street,"$260,000",3 beds,2 baths,"1,339 sq. ft"
15,1719 Olympic Drive,"$250,000",4 beds,2 baths,"1,840 sq. ft"
16,6451 Cavalry Point,"$237,000",2 beds,3 baths,"1,256 sq. ft"
17,7010 Streamwood Point,"$235,000",2 beds,2 baths,"1,355 sq. ft"
18,2632 Bannister Court,"$190,000",2 beds,2 baths,972 sq. ft
19,6251 Pilgrimage Road,"$355,000",5 beds,4 baths,"2,768 sq. ft"
